dataset_doi,interactions,ml_het,hierarchical,variant,any_het,year,deposit_year
doi:10.7910/DVN/6SRI9K,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/6TFUSP,FALSE,FALSE,FALSE,as_published,FALSE,2013,2015
doi:10.7910/DVN/6VJ2WK,FALSE,FALSE,FALSE,as_published,FALSE,2023,2023
doi:10.7910/DVN/6WBQ7U,FALSE,FALSE,TRUE,as_published,TRUE,2016,2016
doi:10.7910/DVN/6XGUWQ,TRUE,FALSE,FALSE,as_published,TRUE,2021,2021
doi:10.7910/DVN/6YNZTE,FALSE,FALSE,TRUE,as_published,TRUE,2019,2019
doi:10.7910/DVN/70UDEG,TRUE,TRUE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/7190MT,TRUE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/74QEO9,TRUE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/78JPNJ,TRUE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/79RI4R,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/7C5RYJ,TRUE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/7D48YB,TRUE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/7EWDRF,FALSE,FALSE,FALSE,as_published,FALSE,2018,2018
doi:10.7910/DVN/7GPSCA,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/7JFVQI,TRUE,FALSE,TRUE,as_published,TRUE,2022,2022
doi:10.7910/DVN/7KSNCE,TRUE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/7M6NIP,FALSE,TRUE,TRUE,as_published,TRUE,2021,2021
doi:10.7910/DVN/7NP2XH,FALSE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/7PZHF6,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/7Q9ZSR,TRUE,TRUE,TRUE,as_published,TRUE,2017,2017
doi:10.7910/DVN/7SYM1H,TRUE,FALSE,TRUE,as_published,TRUE,2021,2021
doi:10.7910/DVN/7TEE2R,TRUE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/7UBRAC,FALSE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/7UOT14,TRUE,FALSE,FALSE,as_published,TRUE,2023,2023
doi:10.7910/DVN/7WUTWA,TRUE,FALSE,FALSE,as_published,TRUE,2021,2021
doi:10.7910/DVN/7YEK7H,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/7ZVSYO,TRUE,FALSE,TRUE,as_published,TRUE,2019,2019
doi:10.7910/DVN/85RL5E,FALSE,FALSE,FALSE,as_published,FALSE,2019,2019
doi:10.7910/DVN/87TSER,TRUE,FALSE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/88FIAR,FALSE,FALSE,FALSE,as_published,FALSE,2016,2016
doi:10.7910/DVN/88XL3K,TRUE,FALSE,FALSE,as_published,TRUE,2023,2023
doi:10.7910/DVN/8B31FG,TRUE,FALSE,FALSE,as_published,TRUE,2020,2020
doi:10.7910/DVN/8GABL3,TRUE,FALSE,TRUE,as_published,TRUE,2019,2019
doi:10.7910/DVN/8GEYKS,FALSE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/8GNMUY,TRUE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/8HFVU8,TRUE,FALSE,TRUE,as_published,TRUE,2019,2019
doi:10.7910/DVN/8I6NOT,TRUE,FALSE,TRUE,as_published,TRUE,2021,2021
doi:10.7910/DVN/8JFNSN,TRUE,FALSE,TRUE,as_published,TRUE,2021,2021
doi:10.7910/DVN/8JHA2X,FALSE,FALSE,TRUE,as_published,TRUE,2019,2019
doi:10.7910/DVN/8JW4Q7,TRUE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/8KNF3I,TRUE,FALSE,TRUE,as_published,TRUE,2019,2019
